run_id,simulation_id,model,seed,scale_plume_factor,scale_mass_factor,plume_prior_mean,logm_prior_mean,plume_estimate,logm_estimate,best_posterior,runtime_sec,n_ens,n_assimilations,likelihood_sigma,print_every
224,0,es,20251348,2.0,0.4,15000.0,23.7189981105004,7857.712279778851,24.53483952353377,,,1000,5,0.6,1
205,0,es,20251329,2.0,0.5,15000.0,23.942141661814613,5880.483561139368,24.42746810387134,,,100,1,0.6,1
206,0,es,20251330,2.0,0.5,15000.0,23.942141661814613,7809.643306476341,24.57145993845989,,,100,5,0.6,1
207,0,es,20251331,2.0,0.5,15000.0,23.942141661814613,7398.69315872196,24.524374894803547,,,1000,1,0.6,1
208,0,es,20251332,2.0,0.5,15000.0,23.942141661814613,7858.913035961568,24.53453637196848,,,1000,5,0.6,1
189,0,es,20251313,2.0,0.6666666666666666,15000.0,24.229823734266393,5880.483561139368,24.424754690738578,,,100,1,0.6,1
190,0,es,20251314,2.0,0.6666666666666666,15000.0,24.229823734266393,7810.10864755278,24.570868257319876,,,100,5,0.6,1
191,0,es,20251315,2.0,0.6666666666666666,15000.0,24.229823734266393,7401.065372411282,24.52215233869664,,,1000,1,0.6,1
192,0,es,20251316,2.0,0.6666666666666666,15000.0,24.229823734266393,7860.480647783957,24.53414716633041,,,1000,5,0.6,1
173,0,es,20251297,2.0,1.0,15000.0,24.635288842374557,5880.483561139368,24.42089330921669,,,100,1,0.6,1
174,0,es,20251298,2.0,1.0,15000.0,24.635288842374557,7810.66534164747,24.57006088381988,,,100,5,0.6,1
175,0,es,20251299,2.0,1.0,15000.0,24.635288842374557,7404.0033343424275,24.518983939796605,,,1000,1,0.6,1
176,0,es,20251300,2.0,1.0,15000.0,24.635288842374557,7862.728107627737,24.533597040498083,,,1000,5,0.6,1
157,0,es,20251281,2.0,1.5,15000.0,25.04075395048272,5880.483561139368,24.41700865035511,,,100,1,0.6,1
158,0,es,20251282,2.0,1.5,15000.0,25.04075395048272,7811.178271092124,24.569256279765547,,,100,5,0.6,1
159,0,es,20251283,2.0,1.5,15000.0,25.04075395048272,7406.731472217141,24.51579531653357,,,1000,1,0.6,1
160,0,es,20251284,2.0,1.5,15000.0,25.04075395048272,7865.072167113194,24.53304974522839,,,1000,5,0.6,1
141,0,es,20251265,2.0,2.0,15000.0,25.328436022934504,5880.483561139368,24.414237041240913,,,100,1,0.6,1
142,0,es,20251266,2.0,2.0,15000.0,25.328436022934504,7811.572813068595,24.568679393507495,,,100,5,0.6,1
143,0,es,20251267,2.0,2.0,15000.0,25.328436022934504,7408.485510756852,24.513516326286855,,,1000,1,0.6,1
144,0,es,20251268,2.0,2.0,15000.0,25.328436022934504,7866.753708823515,24.532664604202697,,,1000,5,0.6,1
125,0,es,20251249,2.0,2.5,15000.0,25.551579574248713,5880.483561139368,24.412095747237625,,,100,1,0.6,1
126,0,es,20251250,2.0,2.5,15000.0,25.551579574248713,7811.972436190971,24.568199363792736,,,100,5,0.6,1
127,0,es,20251251,2.0,2.5,15000.0,25.551579574248713,7409.804790469145,24.5117440325244,,,1000,1,0.6,1
128,0,es,20251252,2.0,2.5,15000.0,25.551579574248713,7868.052094262588,24.53236840737508,,,1000,5,0.6,1
109,0,es,20251233,2.5,0.4,18750.0,23.7189981105004,7350.604451424209,24.555173182569547,,,100,1,0.6,1
110,0,es,20251234,2.5,0.4,18750.0,23.7189981105004,8338.657659890921,24.55565901623477,,,100,5,0.6,1
111,0,es,20251235,2.5,0.4,18750.0,23.7189981105004,9590.26761141027,24.684186507022385,,,1000,1,0.6,1
